Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
376.00	0.028198	0.028503	0.059845	0.088104	0.120850
377.00	0.027969	0.028351	0.059479	0.087540	0.120300
378.00	0.027832	0.028168	0.059280	0.087326	0.119949
379.00	0.027649	0.027954	0.059128	0.086792	0.119553
380.00	0.027359	0.027817	0.058792	0.086319	0.119095
381.00	0.027237	0.027634	0.058685	0.086075	0.118835
382.00	0.027176	0.027542	0.058472	0.085831	0.118561
383.00	0.026779	0.027191	0.058411	0.085449	0.118271
384.00	0.026642	0.026840	0.058105	0.084900	0.117783
385.00	0.026352	0.026596	0.057907	0.084457	0.117447
386.00	0.026138	0.026260	0.057831	0.084076	0.117126
387.00	0.025848	0.026016	0.057724	0.083694	0.116898
388.00	0.025726	0.025925	0.057648	0.083206	0.116684
389.00	0.025284	0.025467	0.057388	0.082657	0.116272
390.00	0.024857	0.025055	0.057190	0.082016	0.115891
391.00	0.024506	0.024673	0.057098	0.081604	0.115707
392.00	0.024078	0.024368	0.056961	0.081100	0.115402
393.00	0.023788	0.023911	0.056885	0.080582	0.115112
394.00	0.023376	0.023483	0.056717	0.079941	0.114822
395.00	0.022858	0.023010	0.056625	0.079376	0.114532
396.00	0.022507	0.022629	0.056427	0.078888	0.114288
397.00	0.022034	0.022079	0.056259	0.078293	0.113907
398.00	0.021515	0.021576	0.056122	0.077637	0.113632
399.00	0.021149	0.021210	0.055984	0.077072	0.113388
400.00	0.020782	0.020874	0.055969	0.076645	0.113220
401.00	0.020203	0.020386	0.055801	0.075958	0.112839
402.00	0.019745	0.019928	0.055603	0.075394	0.112579
403.00	0.019211	0.019424	0.055435	0.074783	0.112289
404.00	0.018677	0.018936	0.055237	0.074112	0.111938
405.00	0.018280	0.018448	0.055206	0.073639	0.111801
406.00	0.017822	0.018021	0.054993	0.073013	0.111496
407.00	0.017456	0.017639	0.054932	0.072540	0.111267
408.00	0.017014	0.017242	0.054810	0.072037	0.111084
409.00	0.016541	0.016861	0.054672	0.071548	0.110870
410.00	0.016205	0.016403	0.054657	0.071060	0.110626
411.00	0.015839	0.016098	0.054489	0.070572	0.110443
412.00	0.015488	0.015701	0.054459	0.070145	0.110214
413.00	0.015076	0.015305	0.054321	0.069626	0.109940
414.00	0.014877	0.015106	0.054306	0.069321	0.109818
415.00	0.014542	0.014755	0.054153	0.068893	0.109634
416.00	0.014221	0.014420	0.054031	0.068436	0.109360
417.00	0.013977	0.014191	0.053970	0.068100	0.109116
418.00	0.013687	0.013885	0.053864	0.067734	0.108856
419.00	0.013458	0.013687	0.053787	0.067444	0.108673
420.00	0.013138	0.013428	0.053589	0.066986	0.108398
421.00	0.013107	0.013397	0.053696	0.066833	0.108368
